question
"What is the latest known price of the Enclosed Field with Ploughman, by Vincent van Gogh, in United States dollars?"
"What is the latest known price of the Portrait of Frederikke Tuxen, by Peder Severin Krøyer, in pound sterlings?"
"What is the latest known price of the Autograph suit of Sandy Powell, by Sandy Powell, in pound sterlings?"
"What is the latest known price of the Reclining nude (on the left side) (Amedeo Modigliani), by Amedeo Modigliani, in United States dollars?"
"What is the latest known price of the Willows by Høje Taastrup village, Denmark, by Laurits Andersen Ring, in Danish krones?"
"What is the latest known price of the Number 17A, by Jackson Pollock, in United States dollars?"
"What is the latest known price of the Day Dream, by Andrew Wyeth, in United States dollars?"
"What is the latest known price of the Boy and Dog in a Johnnypump, by Jean-Michel Basquiat, in United States dollars?"
"What is the latest known price of the View through a Door to Running Figures, by Christoffer Wilhelm Eckersberg, in Danish krones?"
"What is the latest known price of the Prague - View from the Monastery of the Kinghts of the cross with red star, by Oskar Kokoschka, in Czech korunas?"
"What is the latest known price of the Aspects of Time (Santomaso), by Giuseppe Santomaso, in Euros?"
"What is the latest known price of the Norwegian Landscape, by Hans Gude, in Norwegian krones?"
"What is the latest known price of the Marie in the garden, by Peder Severin Krøyer, in pound sterlings?"
"What is the latest known price of the Portrait of the artist as Mars, by Gian Lorenzo Bernini, in pound sterlings?"
"What is the latest known price of the Red Rooves of L'Estaque, by Paul Cézanne, in United States dollars?"
"What is the latest known price of the Les Distractions de Dagobert, by Leonora Carrington, in United States dollars?"
"What is the latest known price of the Marquis de Lafayette, by Samuel Finley Breese Morse, in United States dollars?"
"What is the latest known price of the Sleeping, by Toyen, in Czech korunas?"
"What is the latest known price of the Madonna of the Magnificat, by Sandro Botticelli, in United States dollars?"
"What is the latest known price of the Mirage, by Toyen, in Czech korunas?"
"What is the latest known price of the Rejected, by Tom Roberts, in pound sterlings?"
"What is the latest known price of the Ritratto di donna orientale, by Vincenzo Cinque, in Euros?"
"What is the latest known price of the Young Man at His Window, by Gustave Caillebotte, in United States dollars?"
"What is the latest known price of the Le bassin d'Argenteuil, by Claude Monet, in United States dollars?"
"What is the latest known price of the Water Serpents II, by Gustav Klimt, in United States dollars?"
"What is the latest known price of the Portrait of a woman in a red skirt, by Lorenz Frølich, in Danish krones?"
"What is the latest known price of the Abraham Lincoln: The Hoosier Youth, by Paul Manship, in United States dollars?"
"What is the latest known price of the ""Kabyle woman from Algeria"" and ""Janissary of Sultan Mahmud II"", by Emile Guillemin, in United States dollars?"
"What is the latest known price of the Headless, by Luciano Andreani, in Swiss francs?"
"What is the latest known price of the Young Man with Cornflower, by Vincent van Gogh, in United States dollars?"
"What is the latest known price of the Giant Fruit Loop, by MSCHF, in United States dollars?"
"What is the latest known price of the Caricature of a man pointing with his left arm, by Gian Lorenzo Bernini, in pound sterlings?"
"What is the latest known price of the Interchange, by Willem de Kooning, in United States dollars?"
"What is the latest known price of the Landscape with Olive Tree and Mountains in the Background, by Vincent van Gogh, in United States dollars?"
"What is the latest known price of the Depositing of John Bellini’s Three Pictures in La Chiesa Redentore, Venice, by J. M. W. Turner, in United States dollars?"
"What is the latest known price of the Birch Forest, by Gustav Klimt, in United States dollars?"
"What is the latest known price of the Skagen Heath near Brovandene, by Peder Severin Krøyer, in Danish krones?"
"What is the latest known price of the The Vegetable Seller at Cork, by Beatrice Gubbins, in Euros?"
"What is the latest known price of the Spring landscape with light green fields; small pond and to the right Mogenstrup, by Laurits Andersen Ring, in Danish krones?"
"What is the latest known price of the Odalisque, by Henri Matisse, in United States dollars?"
"What is the latest known price of the Garçon à la pipe, by Pablo Picasso, in United States dollars?"
"What is the latest known price of the Number 31, by Jackson Pollock, in United States dollars?"
"What is the latest known price of the The King's birthday. The Royal Guard in red gala in Østergade, by Paul Gustav Fischer, in Danish krones?"
"What is the latest known price of the Study of a Man, by Gian Lorenzo Bernini, in Euros?"
"What is the latest known price of the Large Interior, W11 (after Watteau), by Lucian Freud, in United States dollars?"
"What is the latest known price of the North Central South Spring Garden, by Nguyễn Gia Trí, in United States dollars?"
"What is the latest known price of the Kreiselbär, by Housi Knecht, in Swiss francs?"
"What is the latest known price of the Divertimento II, by František Kupka, in Czech korunas?"
"What is the latest known price of the Rodolfo Pizarro, by Enrique Enn, in United States dollars?"
"What is the latest known price of the Bal du moulin de la Galette, by Pierre-Auguste Renoir, in United States dollars?"
"What is the latest known price of the Contrast of Forms, by Fernand Léger, in United States dollars?"
"What is the latest known price of the I am, by Salvatore Garau, in United States dollars?"
"What is the latest known price of the The Virgin, by Gustav Klimt, in Austro-Hungarian krones?"
"What is the latest known price of the Portrait of Pope Gregory XIII, bust-length, by Scipione Pulzone, in United States dollars?"
"What is the latest known price of the Cirkus Simonette, by Jindřich Štyrský, in Czech korunas?"
"What is the latest known price of the Peasant Woman, by Abram Arkhipov, in pound sterlings?"
"What is the latest known price of the Ginevra de' Benci, by Leonardo da Vinci, in United States dollars?"
"What is the latest known price of the Orchard with Peach Trees in Blossom, by Vincent van Gogh, in United States dollars?"
"What is the latest known price of the Everydays: the First 5000 Days, by Mike Winkelmann, in United States dollars?"
"What is the latest known price of the Portrait of Alexander VII Chigi, by Pier Francesco Mola, in Euros?"
"What is the latest known price of the Head III, by Francis Bacon, in pound sterlings?"
"What is the latest known price of the Oarsman in a Top Hat, by Gustave Caillebotte, in Euros?"
"What is the latest known price of the Young Girl with a Flower Basket, by Pablo Picasso, in United States dollars?"
"What is the latest known price of the Les Poseuses, small version, by Georges Seurat, in United States dollars?"
"What is the latest known price of the Concarneau. Calme du Matin. Op. 219 (Larghetto), by Paul Signac, in United States dollars?"
"What is the latest known price of the No. 7, by Mark Rothko, in United States dollars?"
"What was the year of publication of the literary work The Danube Pilot, by Jules Verne?"
"What was the year of publication of the literary work The Village in the Treetops, by Jules Verne?"
"What was the year of publication of the literary work Mrs. Todd's Shortcut, by Stephen King?"
"What was the year of publication of the literary work Microbes and Man, by John Postgate?"
"What was the year of publication of the literary work Escape!, by Isaac Asimov?"
"What was the year of publication of the literary work Harry Potter and the Deathly Hallows, by J. K. Rowling?"
"What was the year of publication of the literary work Baby’s Own Aesop, by Walter Crane?"
"What was the year of publication of the literary work Blue Lantern, by Victor Pelevin?"
"What was the year of publication of the literary work Reasons for not eating animal food, by Richard Phillips?"
"What was the year of publication of the literary work The Alchemist, by Paulo Coelho?"
"What was the year of publication of the literary work Riding the Bullet, by Stephen King?"
"What was the year of publication of the literary work Prince Caspian, by C. S. Lewis?"
"What was the year of publication of the literary work Katuri, by Kwon Jeong-saeng?"
"What was the year of publication of the literary work After the Ball, by Marshall Kirk?"
"What was the year of publication of the literary work The Ugly Swans, by Arkady and Boris Strugatsky?"
"What was the year of publication of the literary work Bildotabuloj por la instruado de Esperanto, by Thora Goldschmidt?"
"What was the year of publication of the literary work Segregationist, by Isaac Asimov?"
"What was the year of publication of the literary work The Sound and the Fury, by William Faulkner?"
"What was the year of publication of the literary work Parasite Eve, by Hideaki Sena?"
"What was the year of publication of the literary work Systema Mycologicum, by Elias Magnus Fries?"
"What was the year of publication of the literary work Dongui Suse Bowon, by Yi Je-ma?"
"What was the year of publication of the literary work The Psychopathology of Everyday Life, by Sigmund Freud?"
"What was the year of publication of the literary work Of Mice and Men, by John Steinbeck?"
"What was the year of publication of the literary work Agron, by Saadia Gaon?"
"What was the year of publication of the literary work Memoirs of Sir Isaac Newton's life, by William Stukeley?"
"What was the year of publication of the literary work Finnegans Wake, by James Joyce?"
"What was the year of publication of the literary work White Fang, by Jack London?"
"What was the year of publication of the literary work Christgau's Consumer Guide: Albums of the '90s, by Robert Christgau?"
"What was the year of publication of the literary work The Philosophy of Symbolic Forms, by Ernst Cassirer?"
"What was the year of publication of the literary work The City of Dreaming Books, by Walter Moers?"
"What was the year of publication of the literary work Catechism of the Catholic Church, by Dicastery for the Doctrine of the Faith?"
"What was the year of publication of the literary work Scouting for Boys, by Robert Baden-Powell, 1st Baron Baden-Powell?"
"What was the year of publication of the literary work Astronomiae Pars Optica, by Johannes Kepler?"
"What was the year of publication of the literary work The Shining, by Stephen King?"
"What was the year of publication of the literary work Jyoti Jyoti Mahajyoti, by Daulat Bikram Bista?"
"What was the year of publication of the literary work Individual and society, by Wacław Nałkowski?"
"What was the year of publication of the literary work The Stars, Like Dust, by Isaac Asimov?"
"What was the year of publication of the literary work The Gods Themselves, by Isaac Asimov?"
"What was the year of publication of the literary work Flesh, by Philip José Farmer?"
"What was the year of publication of the literary work Vernünftige und Christliche Gedancken über die Vampirs, by Johann Christoph Harenberg?"
"What was the year of publication of the literary work Mockingjay, by Suzanne Collins?"
"What was the year of publication of the literary work The Boy in the Striped Pyjamas, by John Boyne?"
"What was the year of publication of the literary work Yang Shou, by Jolin Tsai?"
"What was the year of publication of the literary work Valaquenta, by J. R. R. Tolkien?"
"What was the year of publication of the literary work The Vampire Prince, by Darren O'Shaughnessy?"
"What was the year of publication of the literary work Diary of Anne Frank, by Anne Frank?"
"What was the year of publication of the literary work Biography of Iran's Political Figures in 12th, 13th and 14th Hijri Centuries, by Mehdi Bamdad?"
"What was the year of publication of the literary work Book of Proverbs by Francysk Skaryna, by Francysk Skaryna?"
"What was the year of publication of the literary work Timur and His Squad, by Arkady Gaidar?"
"What was the year of publication of the literary work Lost Islamic History: Reclaiming Muslim Civilisation from the Past, by Firas Alkhateeb?"
"What was the year of publication of the literary work Quenta Silmarillion, by J. R. R. Tolkien?"
"What was the year of publication of the literary work Dot and Anton, by Erich Kästner?"
"What was the year of publication of the literary work Five Little Pigs, by Agatha Christie?"
"What was the year of publication of the literary work The Tales of Beedle the Bard, by J. K. Rowling?"
"What was the year of publication of the literary work Biblioteca Lusitana, by Diogo Barbosa Machado?"
"What was the year of publication of the literary work How to do things with Words, by J. L. Austin?"
"What was the year of publication of the literary work The Dwarf, by Pär Lagerkvist?"
"What was the year of publication of the literary work The Jaunt, by Stephen King?"
"What was the year of publication of the literary work The Fifth Woman, by Henning Mankell?"
"What was the year of publication of the literary work Physiology of taste, by Jean Anthelme Brillat-Savarin?"
"What was the year of publication of the literary work The Yearling, by Marjorie Kinnan Rawlings?"
"What was the year of publication of the literary work The Judgment, by Franz Kafka?"
"What was the year of publication of the literary work The Dictator, by Sidney Sheldon?"
"What was the year of publication of the literary work The Monumental Inscriptions in the Parish Church of S. Michael, Coventry, by John Astley?"
"What was the year of publication of the literary work Catch-22, by Joseph Heller?"
"What was the year of publication of the literary work Whiteshift, by Eric Kaufmann?"
"What was the year of publication of the literary work Sangoku Meishō Zue, vol.2, by Satsuma Domain?"
"What was the year of publication of the literary work Gardens of the Moon, by Steven Erikson?"
"What was the year of publication of the literary work The Age of the Fish, by Ödön von Horváth?"
"What was the year of publication of the literary work Iran over the Volcano, by Mohamed Hassanein Heikal?"
"What was the year of publication of the literary work Cell, by Stephen King?"
"What was the year of publication of the literary work Shadow Kiss, by Richelle Mead?"
"What was the year of publication of the literary work On Right Pleasure and Good Health, by Bartolomeo Platina?"
"What was the year of publication of the literary work All Quiet on the Western Front, by Erich Maria Remarque?"
"What was the year of publication of the literary work Novel with Cocaine, by M. Ageyev?"
"What was the year of publication of the literary work Lost in America, by Franz Kafka?"
"What was the year of publication of the literary work A Malayalam Catechism of Physics, by Leonhard Johannes Frohnmeyer?"
"What was the year of publication of the literary work Pretkalpa, by Narayan Dhakal?"
"What was the year of publication of the literary work The Time Wanderers, by Arkady and Boris Strugatsky?"
